Date,Item Code,Category,Quantity Sold,Price,Total Sale
2023-09-01 12:10:00,101,Электроника,1,30000,30000
2023-09-01 13:45:00,202,Одежда,2,5000,10000
2023-09-02 11:00:00,404,Бытовая техника,1,15000,15000
2023-09-03 12:50:00,303,Продукты,5,200,1000
2023-09-03 17:30:00,505,Канцелярия,10,100,1000
2023-09-04 09:15:00,303,Продукты,20,200,4000
2023-09-04 13:50:00,101,Электроника,1,30000,30000
2023-09-05 14:35:00,202,Одежда,4,5000,20000
2023-09-06 18:20:00,404,Бытовая техника,1,15000,15000
2023-09-06 10:00:00,505,Канцелярия,20,,
2023-09-07 11:00:00,303,Продукты,15,200,3000
2023-09-07 14:10:00,404,Бытовая техника,1,,15000
2023-09-08 13:00:00,,,10,1000,10000
