Date,Item Code,Category,Quantity Sold,Price,Total Sale
2023-09-01 10:32:00,101,Электроника,2,30000,60000
2023-09-01 11:45:00,202,Одежда,1,5000,5000
2023-09-02 14:20:00,101,Электроника,1,30000,30000
2023-09-03 13:00:00,303,Продукты,10,200,2000
2023-09-03 16:50:00,404,Бытовая техника,1,15000,15000
2023-09-04 12:15:00,202,Одежда,3,5000,15000
2023-09-04 15:30:00,404,Бытовая техника,1,15000,15000
2023-09-05 09:00:00,303,Продукты,5,200,1000
2023-09-06 17:30:00,505,Канцелярия,15,100,1500
2023-09-06 11:45:00,202,Одежда,,5000,
2023-09-07 12:45:00,101,Электроника,2,,
2023-09-08 14:20:00,303,,10,200,2000
2023-09-08 16:00:00,,,5,5000,25000
